,question,correct_answer,rag_response,score_truthfulness,reason_truthfulness
0,Что такое первообразная и как она связана с неопределённым интегралом?,"Первообразной для функции \( f(x) \) на промежутке \( X \) называется функция \( F(x) \), такая что \( F'(x) = f(x) \) для всех \( x \in X \). Множество всех первообразных функции \( f(x) \) называется её неопределённым интегралом и обозначается \( \int f(x)\,dx = F(x) + C \), где \( C \) — произвольная постоянная. ","Первообразная функции \( y = f(x) \) — это такая функция \( F(x) \), производная которой равна \( f(x) \) на определенном промежутке. То есть, если \( F'(x) = f(x) \), то \( F(x) \) является первообразной для функции \( f(x) \).

### Связь между первообразной и неопределённым интегралом

Неопределённый интеграл функции \( f(x) \) обозначается как:

\[
\int f(x) \, dx = F(x) + C
\]

где \( F(x) \) — это первообразная функции \( f(x) \), а \( C \) — произвольная константа. Это означает, что все первообразные функции \( f(x) \) отличаются друг от друга на постоянное значение \( C \).

### Важные моменты:

1. **Неопределённый интеграл** — это совокупность всех первообразных данной функции. Таким образом, когда мы говорим о неопределённом интеграле, мы имеем в виду не одно конкретное значение, а целый класс функций, которые могут быть получены добавлением константы \( C \) к первообразной.

2. **Геометрический смысл**: Неопределённый интеграл можно рассматривать как процесс нахождения функции, которая при дифференцировании даст исходную функцию \( f(x) \).

3. **Применение**: Первообразные и интегралы часто используются для решения задач, связанных с нахождением площадей под кривыми, определением объёмов тел вращения и другими задачами в математике и физике.

### Пример

Если мы возьмём функцию \( f(x) = 2x \), то её первообразная будет \( F(x) = x^2 + C \). Это означает, что:

\[
\int 2x \, dx = x^2 + C
\]

Таким образом, каждая функция вида \( x^2 + C \) является первообразной для функции \( f(x) = 2x \).

Если у вас есть дополнительные вопросы или вы хотите рассмотреть конкретные примеры, пожалуйста, дайте знать!",1.0,"AI ответ полностью соответствует правильному ответу. Дано точное определение первообразной, корректно объяснена связь с неопределённым интегралом, а также приведены дополнительные пояснения и пример, которые не противоречат истине."
1,В чём состоит метод интегрирования по частям и какова его основная формула?,"Метод интегрирования по частям основан на формуле дифференцирования произведения:  
\[
\int u\,dv = uv - \int v\,du.
\]  
Он применяется, когда подынтегральное выражение удобно разбить на части \( u \) и \( dv \) так, чтобы интеграл от \( v\,du \) был проще исходного. 
","Метод интегрирования по частям — это один из методов вычисления интегралов, который основан на формуле производной произведения двух функций. Этот метод часто используется для интегрирования произведений функций, когда стандартные методы не дают результата.

### Основная формула интегрирования по частям

Формула интегрирования по частям выглядит следующим образом:

\[
\int u \, dv = uv - \int v \, du
\]

где:
- \( u \) — одна из функций, которую мы выбираем (обычно это функция, производная которой легко вычисляется),
- \( dv \) — дифференциал другой функции,
- \( du \) — производная функции \( u \),
- \( v \) — интеграл от \( dv \).

### Применение метода

1. **Выбор функций \( u \) и \( dv \)**: Выбираем \( u \) и \( dv \) так, чтобы производная \( du \) была проще, чем \( u \), а интеграл \( v \) от \( dv \) был легко вычисляем.
2. **Вычисление \( du \) и \( v \)**: Находим производную \( du \) и интеграл \( v \).
3. **Подстановка в формулу**: Подставляем все найденные значения в основную формулу.
4. **Интегрирование**: Вычисляем оставшийся интеграл \( \int v \, du \).
5. **Упрощение результата**: Упрощаем выражение и записываем окончательный ответ.

### Пример

Рассмотрим интеграл \( \int x e^x \, dx \). Мы можем выбрать:
- \( u = x \) (тогда \( du = dx \)),
- \( dv = e^x \, dx \) (тогда \( v = e^x \)).

Теперь применим формулу:

\[
\int x e^x \, dx = x e^x - \int e^x \, dx
\]

Что далее дает:

\[
= x e^x - e^x + C
\]

где \( C \) — произвольная константа интегрирования.

Метод интегрирования по частям позволяет эффективно решать задачи, связанные с интегрированием произведений функций, и является важным инструментом в математическом анализе.",1.0,"AI полностью и правильно изложило метод интегрирования по частям, включая основную формулу, объяснение выбора функций и пример. Ответ полностью соответствует правильному ответу."
2,Как определяется определённый интеграл через первообразную и в чём его геометрический смысл?,"Если \( F(x) \) — первообразная для \( f(x) \) на \([a; b]\), то  
\[
\int_a^b f(x)\,dx = F(b) - F(a).
\]  
Геометрически этот интеграл равен площади криволинейной трапеции, ограниченной графиком \( y = f(x) \geq 0 \), осью абсцисс и прямыми \( x = a \), \( x = b \).
","Определённый интеграл можно рассматривать как разность значений первообразной функции на двух границах интегрирования. Это основано на основном свойстве интегралов, которое гласит:

\[
\int_a^b f(x) \, dx = F(b) - F(a),
\]

где \( F(x) \) является первообразной функцией для \( f(x) \). Это означает, что если вы знаете первообразную функции, вы можете вычислить определённый интеграл, просто подставив верхний и нижний пределы интегрирования.

### Геометрический смысл определённого интеграла

Геометрически определённый интеграл можно интерпретировать как площадь, заключённую между графиком функции \( f(x) \) и осью \( x \) на отрезке \([a, b]\). Если функция \( f(x) \) положительна на данном интервале, то интеграл представляет собой площадь под графиком функции. Если \( f(x) \) отрицательна, то интеграл будет представлять собой «отрицательную» площадь, а результат будет меньше нуля.

#### Пример

Если \( f(x) \) — это функция, которая принимает положительные значения на отрезке \([a, b]\), то:

\[
\int_a^b f(x) \, dx > 0
\]

и эта величина будет равна площади фигуры, ограниченной графиком функции, осью \( x \), и вертикальными линиями \( x=a \) и \( x=b \).

Если у вас есть конкретная функция, для которой вы хотите вычислить определённый интеграл или проиллюстрировать его геометрический смысл, дайте знать, и я помогу вам с вычислениями или графиками!",1.0,"AI ответ полностью соответствует правильному ответу. Он точно формулирует определение определённого интеграла через первообразную (формула Ньютона-Лейбница) и правильно объясняет его геометрический смысл как площадь криволинейной трапеции, включая уточнение о знаке функции."
3,Какова формула Ньютона–Лейбница и при каких условиях она применима?,"Формула Ньютона–Лейбница утверждает, что если функция \( f(x) \) непрерывна на \([a; b]\) и \( F(x) \) — её первообразная, то  
\[
\int_a^b f(x)\,dx = F(b) - F(a).
\]  
Она применима для всех непрерывных функций на отрезке интегрирования.
","Формула Ньютона-Лейбница связывает определенный интеграл функции с её первообразной. Она утверждает, что если функция \( f(x) \) непрерывна на отрезке \([a, b]\) и \( F(x) \) является её первообразной, то:

\[
\int_a^b f(x) \, dx = F(b) - F(a)
\]

### Условия применения формулы:
1. **Непрерывность**: Функция \( f(x) \) должна быть непрерывной на отрезке \([a, b]\). Это условие гарантирует, что функция интегрируема на этом отрезке.
  
2. **Наличие первообразной**: Функция \( f(x) \) должна иметь первообразную \( F(x) \) на данном отрезке.

### Пояснение:
- Определенный интеграл \(\int_a^b f(x) \, dx\) представляет собой площадь под графиком функции \( f(x) \) от \( x = a \) до \( x = b \).
- Первообразная \( F(x) \) функции \( f(x) \) — это такая функция, что \( F'(x) = f(x) \).
- Формула показывает, что разность значений первообразной на концах отрезка равна определенному интегралу функции на этом отрезке.

### Пример применения:
Предположим, что \( f(x) = 2x \) на отрезке \([1, 3]\).
1. Найдем первообразную: \( F(x) = x^2 + C \).
2. Применим формулу:
   \[
   \int_1^3 2x \, dx = F(3) - F(1) = (3^2) - (1^2) = 9 - 1 = 8
   \]

Таким образом, площадь под графиком \( f(x) \) от \( x = 1 \) до \( x = 3 \) равна 8.

Если у вас есть дополнительные вопросы по этой теме или хотите рассмотреть конкретный пример, дайте знать!",1.0,"AI полностью и точно воспроизвело формулу Ньютона–Лейбница и условия её применимости. Ответ совпадает с ожидаемым, включая необходимые условия (непрерывность функции и существование первообразной). Дополнительные пояснения и пример не содержат ошибок и усиливают понимание."
4,Как разложить многочлен на множители способом группировки?,"Способ группировки заключается в следующем:

1. Объедините члены многочлена в группы так, чтобы в каждой группе можно было вынести общий множитель.
2. После вынесения общих множителей в скобках должна появиться одинаковая скобка (общий многочлен).
3. Эту общую скобку выносим за скобки как общий множитель.

Если группировка оказалась неудачной, попробуйте другой способ объединения членов.
","Чтобы разложить многочлен на множители способом группировки, нужно следовать определённой последовательности шагов. Давайте рассмотрим общий процесс разложения многочленов, опираясь на информацию из предоставленных учебников.

### Шаги для разложения многочлена на множители способом группировки:

1. **Запишите многочлен**: Начните с того, чтобы записать многочлен, который вы хотите разложить.

2. **Группировка слагаемых**: Разделите многочлен на группы, так чтобы в каждой группе можно было вынести общий множитель. Обычно это делается парами или тройками слагаемых.

3. **Вынесение общего множителя**: В каждой группе вынесите общий множитель за скобки.

4. **Объедините результаты**: После вынесения общих множителей, посмотрите, остались ли одинаковые выражения в скобках. Если это так, вы можете вынести их ещё раз.

5. **Запишите итоговый ответ**: Запишите финальное выражение в виде произведения множителей.

### Пример

Рассмотрим многочлен \( x^3 + 3x^2 + 2x \).

1. **Группировка**: Разделим его на две группы: \( (x^3 + 3x^2) + (2x) \).
2. **Вынесение общего множителя**:
   - В первой группе \( x^2 \) является общим множителем: \( x^2(x + 3) \).
   - Во второй группе \( 2x \) является общим множителем: \( 2(x + 3) \).
3. **Объединение**: Теперь у нас есть: \( x^2(x + 3) + 2(x + 3) \).
4. **Вынесение общего множителя**: Мы видим, что \( (x + 3) \) является общим множителем: 
   \[
   (x + 3)(x^2 + 2)
   \]
5. **Записываем итог**: Таким образом, многочлен \( x^3 + 3x^2 + 2x \) разлагается на множители как:
   \[
   (x + 3)(x^2 + 2)
   \]

Если у вас есть конкретный многочлен, который вы хотите разложить, напишите его, и я помогу вам с разложением!",1.0,"Ответ AI полностью соответствует правильному ответу. Он подробно описывает шаги разложения многочлена на множители способом группировки, включая пример, что делает объяснение ещё более понятным и полным."
5,Как разложить многочлен на множители с помощью формул сокращенного умножения?,"Разложение многочлена на множители с помощью формул сокращённого умножения выполняется по следующим основным формулам:

1. **Разность квадратов**:  
   $ a^2 - b^2 = (a - b)(a + b) $

2. **Разность кубов**:  
   $ a^3 - b^3 = (a - b)(a^2 + ab + b^2) $

3. **Сумма кубов**:  
   $ a^3 + b^3 = (a + b)(a^2 - ab + b^2) $

4. **Квадрат суммы**:  
   $ a^2 + 2ab + b^2 = (a + b)^2 $

5. **Квадрат разности**:  
   $ a^2 - 2ab + b^2 = (a - b)^2 $

Применяйте нужную формулу, если многочлен соответствует её структуре (например, является разностью квадратов или полным квадратом трёхчлена).
","Чтобы разложить многочлен на множители с помощью формул сокращенного умножения, нужно знать несколько основных формул. Формулы сокращенного умножения позволяют представлять некоторые многочлены в виде произведения более простых выражений.

Вот основные формулы сокращенного умножения:

1. **Квадрат суммы**:
   \[
   (a + b)^2 = a^2 + 2ab + b^2
   \]

2. **Квадрат разности**:
   \[
   (a - b)^2 = a^2 - 2ab + b^2
   \]

3. **Разность квадратов**:
   \[
   a^2 - b^2 = (a - b)(a + b)
   \]

4. **Сумма кубов**:
   \[
   a^3 + b^3 = (a + b)(a^2 - ab + b^2)
   \]

5. **Разность кубов**:
   \[
   a^3 - b^3 = (a - b)(a^2 + ab + b^2)
   \]

Теперь давайте рассмотрим пример разложения многочлена на множители с использованием этих формул. Если у вас есть конкретный многочлен, который вы хотите разложить, пожалуйста, предоставьте его, и я помогу вам с разложением шаг за шагом.",1.0,"AI-ответ полностью соответствует правильному ответу. Все основные формулы сокращенного умножения приведены корректно, а структура ответа совпадает с ожидаемой (за исключением примера, который не требовался в вопросе, но и не противоречит ему)."
6,Каковы свойства квадратичной функции?,"Свойства квадратичной функции \( y = kx^2 \) (\( k \ne 0 \)):

**При \( k > 0 \):**
1. Область определения: \( (-\infty; +\infty) \).
2. \( y = 0 \) при \( x = 0 \); \( y > 0 \) при \( x \ne 0 \).
3. Непрерывная функция.
4. \( y_{\min} = 0 \) (при \( x = 0 \)); наибольшего значения нет.
5. Возрастает при \( x > 0 \), убывает при \( x < 0 \).
6. Ограничена снизу, не ограничена сверху.
7. Область значений: \( [0; +\infty) \).
8. График — парабола с вершиной в начале координат, ветви направлены вверх, ось симметрии — ось \( y \).
9. Выпукла вниз.

**При \( k < 0 \):**
1. Область определения: \( (-\infty; +\infty) \).
2. \( y = 0 \) при \( x = 0 \); \( y < 0 \) при \( x \ne 0 \).
3. Непрерывная функция.
4. \( y_{\max} = 0 \) (при \( x = 0 \)); наименьшего значения нет.
5. Возрастает при \( x < 0 \), убывает при \( x > 0 \).
6. Ограничена сверху, не ограничена снизу.
7. Область значений: \( (-\infty; 0] \).
8. График — парабола с вершиной в начале координат, ветви направлены вниз, ось симметрии — ось \( y \).
9. Выпукла вверх.
","Квадратичная функция имеет несколько важных свойств, которые помогают понять ее поведение. На основе предоставленных учебных материалов можно выделить следующие ключевые свойства квадратичной функции вида \( y = kx^2 \), где \( k \neq 0 \):

1. **Ограниченность**:
   - Если \( k > 0 \), функция ограничена снизу и не ограничена сверху. Это означает, что значения функции не могут быть меньше нуля, но могут принимать любые положительные значения.
   - Если \( k < 0 \), функция ограничена сверху и не ограничена снизу. Значения функции не могут превышать нуля, но могут принимать любые отрицательные значения.

2. **Область значений**:
   - Для функции \( y = kx^2 \) с \( k > 0 \) область значений – это луч \([0; +\infty)\). Это означает, что функция принимает все значения от нуля до бесконечности.
   - Для функции \( y = kx^2 \) с \( k < 0 \) область значений – это луч \((-∞; 0]\).

3. **Выпуклость**:
   - Если \( k > 0 \), функция выпукла вверх.
   - Если \( k < 0 \), функция выпукла вниз.

Эти свойства помогают в анализе графиков квадратичных функций и их применении в различных математических задачах. 

Если вам нужно более глубокое объяснение какого-либо свойства или примеры, дайте знать!",0.5,"AI частично правильно описало свойства квадратичной функции, такие как ограниченность и область значений, однако допустило ошибки в описании выпуклости (выпуклость указана наоборот). Кроме того, ответ неполный: отсутствуют многие ключевые свойства, такие как область определения, непрерывность, экстремумы, монотонность, график и его особенности."
7,Как решить крадратное уравнение с помощью теоремы Виета?,"Чтобы решить квадратное уравнение с помощью теоремы Виета, используйте следующее:

1. **Для приведённого уравнения** вида \( x^2 + px + q = 0 \):
   - Сумма корней: \( x_1 + x_2 = -p \)
   - Произведение корней: \( x_1 x_2 = q \)
   - Подберите два числа, удовлетворяющие этим условиям — они и будут корнями.

2. **Для неприведённого уравнения** \( ax^2 + bx + c = 0 \) (\( a \ne 1 \)):
   - Сумма корней: \( x_1 + x_2 = -\frac{b}{a} \)
   - Произведение корней: \( x_1 x_2 = \frac{c}{a} \)
   - Если коэффициенты целые и корни рациональны, они будут целыми или легко подбираются после сведения к приведённому виду (например, заменой переменной).

3. **Обратная теорема Виета**: если числа \( x_1, x_2 \) удовлетворяют условиям \( x_1 + x_2 = -p \) и \( x_1 x_2 = q \), то они — корни уравнения \( x^2 + px + q = 0 \).

Этот метод особенно удобен для устного решения уравнений с целыми коэффициентами.
","Мы решили квадратное уравнение \( x^2 - 5x + 6 = 0 \) и нашли его корни. В результате получились два корня:

- \( x_1 = 2 \)
- \( x_2 = 3 \)

### Подведение итогов

Таким образом, мы использовали теорему Виета для нахождения корней квадратного уравнения. Мы определили сумму и произведение корней, составили новую систему уравнений и, в конце концов, нашли сами корни:

1. Сумма корней: \( 2 + 3 = 5 \)
2. Произведение корней: \( 2 \cdot 3 = 6 \)

Если у вас есть ещё вопросы по этой теме или другим аспектам математики, не стесняйтесь спрашивать!",0.5,"Ответ частично правильный, но неполный. AI привело пример решения конкретного квадратного уравнения с помощью теоремы Виета, что соответствует правильному ответу. Однако оно не объяснило общий метод решения квадратных уравнений с помощью теоремы Виета, как это требуется в вопросе. Таким образом, ответ не охватывает всю необходимую информацию."
8,Как решить крадратное уравнение через дискриминант?,"Чтобы решить квадратное уравнение \( ax^2 + bx + c = 0 \) через дискриминант, выполните следующие шаги:

1. **Вычислите дискриминант**:  
   \[
   D = b^2 - 4ac
   \]

2. **Определите количество корней**:
   - Если \( D < 0 \) — уравнение **не имеет корней**.
   - Если \( D = 0 \) — уравнение имеет **один корень**:  
     \[
     x = -\frac{b}{2a}
     \]
   - Если \( D > 0 \) — уравнение имеет **два корня**:  
     \[
     x_1 = \frac{-b + \sqrt{D}}{2a}, \quad x_2 = \frac{-b - \sqrt{D}}{2a}
     \]

Это правило применимо ко всем полным квадратным уравнениям.
","Чтобы решить квадратное уравнение с помощью дискриминанта, нам нужно следовать нескольким шагам. Давайте рассмотрим общее квадратное уравнение, которое имеет вид:

\[ ax^2 + bx + c = 0 \]

где \( a \), \( b \) и \( c \) — это коэффициенты, а \( a \neq 0 \).

### Шаги решения:

1. **Найти дискриминант \( D \)**:
   Дискриминант определяется по формуле:
   \[ D = b^2 - 4ac \]

2. **Анализ дискриминанта**:
   - Если \( D > 0 \), уравнение имеет два различных действительных корня.
   - Если \( D = 0 \), уравнение имеет один двойной корень.
   - Если \( D < 0 \), уравнение не имеет действительных корней.

3. **Найти корни уравнения**:
   Корни уравнения находятся по следующим формулам:
   - Если \( D > 0 \):
     \[
     x_1 = \frac{-b + \sqrt{D}}{2a}, \quad x_2 = \frac{-b - \sqrt{D}}{2a}
     \]
   - Если \( D = 0 \):
     \[
     x = \frac{-b}{2a}
     \]

### Пример:

Решим квадратное уравнение \( 2x^2 - 4x + 1 = 0 \).

1. **Находим дискриминант**:
   \[
   a = 2, \quad b = -4, \quad c = 1
   \]
   \[
   D = (-4)^2 - 4 \cdot 2 \cdot 1 = 16 - 8 = 8
   \]

2. **Анализируем дискриминант**: \( D > 0 \), значит, у уравнения два различных корня.

3. **Находим корни**:
   \[
   x_1 = \frac{-(-4) + \sqrt{8}}{2 \cdot 2} = \frac{4 + 2\sqrt{2}}{4} = 1 + \frac{\sqrt{2}}{2}
   \]
   \[
   x_2 = \frac{-(-4) - \sqrt{8}}{2 \cdot 2} = \frac{4 - 2\sqrt{2}}{4} = 1 - \frac{\sqrt{2}}{2}
   \]

Таким образом, корни уравнения \( 2x^2 - 4x + 1 = 0 \) равны \( x_1 = 1 + \frac{\sqrt{2}}{2} \) и \( x_2 = 1 - \frac{\sqrt{2}}{2} \).

Если у вас есть конкретное уравнение, которое нужно решить, пожалуйста, предоставьте его, и я помогу вам решить его шаг за шагом!",1.0,"AI ответ полностью соответствует правильному ответу. Все шаги решения квадратного уравнения через дискриминант описаны корректно, включая формулы, условия и пример."
9,Как решить систему линейных уравнения методом введения новых переменных?,"Метод введения новых переменных при решении систем уравнений заключается в следующем:

1. **Введи новые переменные** для упрощения вида одного или обоих уравнений системы (например, \( a = x - 3y \), \( b = 2x + y \)).
2. **Перепиши систему** в новых переменных — она должна стать проще (часто линейной).
3. **Реши упрощённую систему** относительно новых переменных.
4. **Вернись к исходным переменным**, подставив найденные значения новых переменных, и реши полученную систему относительно \( x \) и \( y \).

Этот метод особенно полезен, когда исходные уравнения содержат повторяющиеся выражения или сложные комбинации переменных.
","Метод введения новых переменных — это один из способов решения системы линейных уравнений. Давайте рассмотрим этот метод на примере.

### Пример системы уравнений

Рассмотрим следующую систему уравнений:

\[
\begin{cases}
3x - 4y = 5 \\
2x + y = 7
\end{cases}
\]

### Шаги решения методом введения новых переменных

1. **Введение новых переменных**: Мы можем ввести новые переменные, чтобы упростить систему. Например, пусть:
   - \( z = 2x + y \)

   Подставим \( y = z - 2x \) в первое уравнение.

2. **Подстановка**: Теперь подставим \( y \) в первое уравнение:

   \[
   3x - 4(z - 2x) = 5
   \]

   Раскроем скобки и упростим:

   \[
   3x - 4z + 8x = 5 \\
   11x - 4z = 5
   \]

3. **Решение новой системы**: Теперь у нас есть система:

\[
\begin{cases}
11x - 4z = 5 \\
z = 7 - 2x
\end{cases}
\]

4. **Подставим \( z \) в первое уравнение**:

\[
11x - 4(7 - 2x) = 5
\]

   Упростим это уравнение:

\[
11x - 28 + 8x = 5 \\
19x - 28 = 5 \\
19x = 33 \\
x = \frac{33}{19}
\]

5. **Нахождение \( z \) и \( y \)**: Теперь, используя \( x \), найдем \( z \):

\[
z = 7 - 2\left(\frac{33}{19}\right) = 7 - \frac{66}{19} = \frac{133 - 66}{19} = \frac{67}{19}
\]

   Теперь найдем \( y \):

\[
y = z - 2x = \frac{67}{19} - 2\left(\frac{33}{19}\right) = \frac{67 - 66}{19} = \frac{1}{19}
\]

### Ответ

Таким образом, решение системы уравнений:

\[
\begin{cases}
x = \frac{33}{19} \\
y = \frac{1}{19}
\end{cases}
\]

### Заключение

Метод введения новых переменных позволяет упростить систему уравнений и сделать её более удобной для решения. В примере мы использовали новую переменную \( z \) для упрощения расчетов. 

Если у вас есть конкретная система уравнений, которую нужно решить, напишите ее, и я помогу вам с решением!",0.5,"AI частично правильно объяснило метод введения новых переменных, но допустило ошибку в выборе примера. Метод введения новых переменных обычно применяется для систем, где это действительно упрощает решение (например, при наличии повторяющихся выражений или сложных комбинаций переменных). В данном случае система была линейной и простой, и введение новой переменной не было необходимым или оправданным. Кроме того, решение примера содержит избыточные шаги, которые не иллюстрируют суть метода."
